Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1675803545.5496917,0,1675803545,505126758,,2,/record_1675803545390144929,Subscribing to /rosout_agg,/tmp/binarydeb/ros-noetic-rosbag-1.15.15/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675803545.5497165,1,1675803545,509002030,,2,/record_1675803545390144929,Subscribing to /rosout,/tmp/binarydeb/ros-noetic-rosbag-1.15.15/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675803545.5497413,2,1675803545,511796254,,2,/record_1675803545390144929,Subscribing to /gps,/tmp/binarydeb/ros-noetic-rosbag-1.15.15/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1675803545.5497518,3,1675803545,514877616,,2,/record_1675803545390144929,Recording to '2023-02-07-15-59-05.bag'.,/tmp/binarydeb/ros-noetic-rosbag-1.15.15/src/recorder.cpp,Recorder::startWriting,449,['/rosout']
