Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675814537.046499,1,137,0,GPS1_Frame,42.337231,-71.085707,84.5,6.0,328178.1399666498,4689326.451786702,1675728137.0,19,T
1675814538.0486426,2,138,0,GPS1_Frame,42.337227,-71.085702,84.6,6.0,328178.5409925673,4689325.997513827,1675728138.0,19,T
1675814539.0479054,3,139,0,GPS1_Frame,42.337221,-71.085696,84.6,6.0,328179.0189554179,4689325.3191355765,1675728139.0,19,T
1675814540.0474033,4,140,0,GPS1_Frame,42.337216,-71.085691,85.1,6.0,328179.41725786624,4689324.753820397,1675728140.0,19,T
1675814541.04609,5,141,0,GPS1_Frame,42.33721,-71.085686,85.4,5.0,328179.8128367962,4689324.0774628855,1675728141.0,19,T
1675814542.0471013,6,142,0,GPS1_Frame,42.337204,-71.085679,85.7,6.0,328180.3731840147,4689323.39706407,1675728142.0,19,T
1675814543.0467396,7,143,0,GPS1_Frame,42.3372,-71.085681,86.8,6.0,328180.1975214946,4689322.956935971,1675728143.0,19,T
1675814544.0482101,8,144,0,GPS1_Frame,42.337197,-71.085679,87.6,6.0,328180.35411898786,4689322.61976757,1675728144.0,19,T
1675814545.0511804,9,145,0,GPS1_Frame,42.337194,-71.085679,88.4,6.0,328180.34594826296,4689322.286640499,1675728145.0,19,T
1675814546.0478108,10,146,0,GPS1_Frame,42.337193,-71.085676,88.7,6.0,328180.5903770414,4689322.169536154,1675728146.0,19,T
1675814547.0461156,11,147,0,GPS1_Frame,42.33719,-71.085671,88.7,6.0,328180.99412694084,4689321.826305788,1675728147.0,19,T
1675814548.0478373,12,148,0,GPS1_Frame,42.337185,-71.085665,89.1,6.0,328181.47481389163,4689321.258970085,1675728148.0,19,T
1675814549.0483408,13,149,0,GPS1_Frame,42.337181,-71.085659,89.4,6.0,328181.9582244701,4689320.802676771,1675728149.0,19,T
1675814550.0482817,14,150,0,GPS1_Frame,42.337175,-71.085654,89.8,5.0,328182.35380388994,4689320.126319421,1675728150.0,19,T
1675814551.0500252,15,151,0,GPS1_Frame,42.337169,-71.085647,90.2,5.0,328182.9141516917,4689319.445920828,1675728151.0,19,T
1675814552.0486484,16,152,0,GPS1_Frame,42.337163,-71.085641,90.6,6.0,328183.39211544313,4689318.767542908,1675728152.0,19,T
1675814553.0477731,17,153,0,GPS1_Frame,42.337158,-71.085634,91.0,6.0,328183.955186972,4689318.198186763,1675728153.0,19,T
1675814554.0459168,18,154,0,GPS1_Frame,42.337154,-71.085631,91.3,6.0,328184.1914454213,4689317.7479554815,1675728154.0,19,T
1675814555.046336,19,155,0,GPS1_Frame,42.33715,-71.085626,91.4,5.0,328184.5924722538,4689317.293682985,1675728155.0,19,T
1675814556.048166,20,156,0,GPS1_Frame,42.337147,-71.08562,91.5,5.0,328185.07860681217,4689316.94843226,1675728156.0,19,T
1675814557.0509136,21,157,0,GPS1_Frame,42.337144,-71.085616,91.9,6.0,328185.39997305546,4689316.607222772,1675728157.0,19,T
1675814558.048083,22,158,0,GPS1_Frame,42.33714,-71.08561,92.3,5.0,328185.8833842167,4689316.150929751,1675728158.0,19,T
1675814559.043753,23,159,0,GPS1_Frame,42.337135,-71.085604,92.6,4.0,328186.36407197174,4689315.583594409,1675728159.0,19,T
1675814560.04712,24,160,0,GPS1_Frame,42.33713,-71.085598,93.0,4.0,328186.8447598022,4689315.016259103,1675728160.0,19,T
1675814561.0471466,25,161,0,GPS1_Frame,42.337126,-71.085592,93.3,4.0,328187.32817117404,4689314.559966189,1675728161.0,19,T
1675814562.0486338,26,162,0,GPS1_Frame,42.337121,-71.085587,93.9,4.0,328187.72647494543,4689313.994651529,1675728162.0,19,T
1675814563.049211,27,163,0,GPS1_Frame,42.337115,-71.085581,94.7,4.0,328188.20443955937,4689313.316273968,1675728163.0,19,T
1675814564.0490322,28,164,0,GPS1_Frame,42.33711,-71.085567,94.2,5.0,328189.34420151333,4689312.73277433,1675728164.0,19,T
