Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1678937273.6810129,38480,1678937273,680126905,,2,/imu_driver,Current time 1678937273 677143573,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.7064567,38481,1678937273,705439329,,2,/imu_driver,Current time 1678937273 702533006,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.7313097,38482,1678937273,730487585,,2,/imu_driver,Current time 1678937273 727832794,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.7558746,38483,1678937273,754761934,,2,/imu_driver,Current time 1678937273 752018928,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.7810483,38484,1678937273,779918909,,2,/imu_driver,Current time 1678937273 777064085,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.806273,38485,1678937273,805352926,,2,/imu_driver,Current time 1678937273 802493333,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.8315747,38486,1678937273,830589294,,2,/imu_driver,Current time 1678937273 827777624,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.8566475,38487,1678937273,854782819,,2,/imu_driver,Current time 1678937273 851940393,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.881554,38488,1678937273,880640268,,2,/imu_driver,Current time 1678937273 877806901,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.9069645,38489,1678937273,905289888,,2,/imu_driver,Current time 1678937273 902449607,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.9313889,38490,1678937273,930471420,,2,/imu_driver,Current time 1678937273 927707433,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.956402,38491,1678937273,954834938,,2,/imu_driver,Current time 1678937273 951998710,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.9814086,38492,1678937273,980418920,,2,/imu_driver,Current time 1678937273 977753400,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.007089,38493,1678937274,5437850,,2,/imu_driver,Current time 1678937274 2683877,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.0312648,38494,1678937274,30326604,,2,/imu_driver,Current time 1678937274 27726888,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.0565112,38495,1678937274,55489540,,2,/imu_driver,Current time 1678937274 52793741,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.081948,38496,1678937274,80324411,,2,/imu_driver,Current time 1678937274 77697515,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.106817,38497,1678937274,105147123,,2,/imu_driver,Current time 1678937274 102031469,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.1315074,38498,1678937274,130464315,,2,/imu_driver,Current time 1678937274 127695798,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.1572273,38499,1678937274,156140327,,2,/imu_driver,Current time 1678937274 153287410,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.1815643,38500,1678937274,180496454,,2,/imu_driver,Current time 1678937274 177669286,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.2061768,38501,1678937274,205207109,,2,/imu_driver,Current time 1678937274 202473640,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.231282,38502,1678937274,230295896,,2,/imu_driver,Current time 1678937274 227622747,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.2568738,38503,1678937274,255839586,,2,/imu_driver,Current time 1678937274 253094911,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.2821887,38504,1678937274,280542612,,2,/imu_driver,Current time 1678937274 277806997,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.306741,38505,1678937274,305859327,,2,/imu_driver,Current time 1678937274 303155422,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.3315587,38506,1678937274,330473899,,2,/imu_driver,Current time 1678937274 327534198,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.356357,38507,1678937274,355339288,,2,/imu_driver,Current time 1678937274 352492332,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.3823078,38508,1678937274,380490779,,2,/imu_driver,Current time 1678937274 377763748,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.4065833,38509,1678937274,405107498,,2,/imu_driver,Current time 1678937274 402413606,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.4310465,38510,1678937274,430209875,,2,/imu_driver,Current time 1678937274 427553892,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.456295,38511,1678937274,455261230,,2,/imu_driver,Current time 1678937274 452554464,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.4815183,38512,1678937274,480515241,,2,/imu_driver,Current time 1678937274 477683305,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.5060577,38513,1678937274,505075216,,2,/imu_driver,Current time 1678937274 502388954,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.5310638,38514,1678937274,530259609,,2,/imu_driver,Current time 1678937274 527565240,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.5566332,38515,1678937274,555686712,,2,/imu_driver,Current time 1678937274 553053379,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.5821786,38516,1678937274,581134080,,2,/imu_driver,Current time 1678937274 577778577,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.6060483,38517,1678937274,605084896,,2,/imu_driver,Current time 1678937274 602416038,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.6311705,38518,1678937274,630264282,,2,/imu_driver,Current time 1678937274 627566337,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.6566164,38519,1678937274,655610799,,2,/imu_driver,Current time 1678937274 652952909,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.6818466,38520,1678937274,680257320,,2,/imu_driver,Current time 1678937274 677519083,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.7059138,38521,1678937274,704981327,,2,/imu_driver,Current time 1678937274 702295780,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.7311711,38522,1678937274,730219841,,2,/imu_driver,Current time 1678937274 727441072,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.7571957,38523,1678937274,755737781,,2,/imu_driver,Current time 1678937274 753082990,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.7812238,38524,1678937274,780323266,,2,/imu_driver,Current time 1678937274 777559518,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.8060431,38525,1678937274,804976940,,2,/imu_driver,Current time 1678937274 802272796,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.8319197,38526,1678937274,830895900,,2,/imu_driver,Current time 1678937274 827608585,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.8564641,38527,1678937274,855464220,,2,/imu_driver,Current time 1678937274 852776527,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.88126,38528,1678937274,880335807,,2,/imu_driver,Current time 1678937274 877560138,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.9059668,38529,1678937274,904968500,,2,/imu_driver,Current time 1678937274 902292966,imu_driver.py,driver,56,"['/imu', '/rosout']"
