Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1678937273.6569095,38482,1678937273,655478477,,2,/imu_driver,Current time 1678937273 652627229,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.680839,38483,1678937273,680126905,,2,/imu_driver,Current time 1678937273 677143573,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.7060828,38484,1678937273,705439329,,2,/imu_driver,Current time 1678937273 702533006,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.7311401,38485,1678937273,730487585,,2,/imu_driver,Current time 1678937273 727832794,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.7554584,38486,1678937273,754761934,,2,/imu_driver,Current time 1678937273 752018928,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.7806325,38487,1678937273,779918909,,2,/imu_driver,Current time 1678937273 777064085,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.8060505,38488,1678937273,805352926,,2,/imu_driver,Current time 1678937273 802493333,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.8313022,38489,1678937273,830589294,,2,/imu_driver,Current time 1678937273 827777624,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.8555229,38490,1678937273,854782819,,2,/imu_driver,Current time 1678937273 851940393,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.8812153,38491,1678937273,880640268,,2,/imu_driver,Current time 1678937273 877806901,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.9059677,38492,1678937273,905289888,,2,/imu_driver,Current time 1678937273 902449607,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.9311042,38493,1678937273,930471420,,2,/imu_driver,Current time 1678937273 927707433,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.9559991,38494,1678937273,954834938,,2,/imu_driver,Current time 1678937273 951998710,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.981123,38495,1678937273,980418920,,2,/imu_driver,Current time 1678937273 977753400,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.006093,38496,1678937274,5437850,,2,/imu_driver,Current time 1678937274 2683877,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.0309606,38497,1678937274,30326604,,2,/imu_driver,Current time 1678937274 27726888,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.0561767,38498,1678937274,55489540,,2,/imu_driver,Current time 1678937274 52793741,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937274.080985,38499,1678937274,80324411,,2,/imu_driver,Current time 1678937274 77697515,imu_driver.py,driver,56,"['/imu', '/rosout']"
